Name;CAPEC ID;Similarity_orca;Similarity_our
T-A1-02;CAPEC-12;0.5848651;0.59235257
T-A1-02;CAPEC-387;0.596484;0.60620797
T-A1-02;CAPEC-388;0.56450886;0.57732266
T-A1-02;CAPEC-94;0.5796715;0.569238
T-A1-03;CAPEC-12;0.56642884;0.5652067
T-A1-03;CAPEC-272;0.5509149;
T-A1-03;CAPEC-387;0.5691604;0.5743488
T-A1-03;CAPEC-388;0.55429;0.5633915
T-A1-03;CAPEC-94;0.56118155;0.5557638
T-AAL-05;CAPEC-456;0.6158964;0.58351094
T-AAL-05;CAPEC-663;0.56383425;0.55704486
T-AAL-05;CAPEC-679;0.570197;0.5514902
T-AAL-06;CAPEC-401;0.5739124;0.5584692
T-AAL-06;CAPEC-440;0.5705966;0.5596848
T-AAL-06;CAPEC-452;0.5769205;0.5667579
T-AAL-06;CAPEC-638;0.6015073;0.6033793
T-AAL-06;CAPEC-665;0.55626833;0.56011474
T-AAL-06;CAPEC-682;0.5719693;0.5815423
T-AppLCM-01;CAPEC-180;0.5635905;0.55190545
T-AppLCM-01;CAPEC-186;0.5818436;0.58572036
T-AppLCM-01;CAPEC-212;0.55931956;0.5525226
T-AppLCM-01;CAPEC-387;;0.55575794
T-AppLCM-01;CAPEC-441;;0.5506876
T-AppLCM-01;CAPEC-445;0.5656879;0.5760434
T-AppLCM-01;CAPEC-446;0.5508399;0.56183594
T-AppLCM-01;CAPEC-480;0.5556584;0.5573523
T-AppLCM-01;CAPEC-502;0.59569746;0.5948483
T-AppLCM-01;CAPEC-523;0.5569091;0.5670909
T-AppLCM-01;CAPEC-533;0.5833658;0.5825295
T-AppLCM-01;CAPEC-534;0.5703814;0.56667536
T-AppLCM-01;CAPEC-669;0.61875224;0.62016475
T-AppLCM-01;CAPEC-677;0.58582354;0.57409203
T-AppLCM-02;CAPEC-23;0.56903195;0.5725836
T-AppLCM-02;CAPEC-441;;0.5541328
T-AppLCM-02;CAPEC-480;0.5520885;
T-AppLCM-02;CAPEC-502;;0.551379
T-AppLCM-02;CAPEC-669;0.55140674;
T-AppLCM-05;CAPEC-445;0.55898803;
T-AppLCM-05;CAPEC-502;0.5796088;
T-AppLCM-05;CAPEC-698;0.55122113;
T-AppLCM-07;CAPEC-184;0.56059754;
T-AppLCM-07;CAPEC-212;0.55335325;0.55313987
T-AppLCM-07;CAPEC-263;0.55188364;
T-AppLCM-07;CAPEC-271;0.5844972;0.57606673
T-AppLCM-07;CAPEC-546;0.63088655;0.6256488
T-AppLCM-07;CAPEC-548;0.5894898;0.5715864
T-CPLANE-01;CAPEC-473;0.56771106;
T-GEN-01;CAPEC-480;0.5621081;
T-GEN-02;CAPEC-114;0.5621336;
T-GEN-02;CAPEC-122;0.5660987;0.55392194
T-GEN-02;CAPEC-510;0.6071962;0.5971298
T-GEN-02;CAPEC-555;0.5601635;0.55629534
T-GEN-02;CAPEC-560;0.5553874;0.5518649
T-GEN-02;CAPEC-600;0.5650064;0.56021976
T-HW-02;CAPEC-480;0.57686806;0.5687603
T-IMG-01;CAPEC-480;0.5780267;0.57508296
T-NEAR-RT-04;CAPEC-388;0.5553419;0.555342
T-NONRTRIC-01;CAPEC-180;0.5597336;0.551377
T-NONRTRIC-01;CAPEC-594;0.5629792;
T-O-RAN-04;CAPEC-604;0.57392347;0.55164343
T-O-RAN-04;CAPEC-615;0.5509182;
T-O-RAN-06;CAPEC-114;0.5957637;0.5888269
T-O-RAN-06;CAPEC-115;0.5502651;
T-O-RAN-06;CAPEC-180;0.5634923;0.5547206
T-O-RAN-07;CAPEC-268;0.6484928;0.65897715
T-O-RAN-07;CAPEC-81;;0.5587425
T-O-RAN-07;CAPEC-93;0.61902606;0.63239735
T-O-RAN-09;CAPEC-440;0.56510174;0.56092465
T-OPENSRC-01;CAPEC-538;0.66393125;0.66030264
T-OPENSRC-01;CAPEC-691;0.55428857;
T-OPENSRC-02;CAPEC-186;0.583647;0.58444136
T-OPENSRC-02;CAPEC-242;0.58674383;0.58519363
T-OPENSRC-02;CAPEC-442;0.60470533;0.60581934
T-OPENSRC-02;CAPEC-443;0.57537526;0.5739313
T-OPENSRC-02;CAPEC-445;0.570698;0.56784683
T-OPENSRC-02;CAPEC-446;0.5530791;0.55080366
T-OPENSRC-02;CAPEC-502;;0.5512933
T-OPENSRC-02;CAPEC-511;0.5928261;0.5858643
T-OPENSRC-02;CAPEC-523;0.57731146;0.576441
T-OPENSRC-02;CAPEC-537;0.5783093;0.5684615
T-OPENSRC-02;CAPEC-538;0.632529;0.6341503
T-OPENSRC-02;CAPEC-549;0.58009225;0.5833215
T-OPENSRC-02;CAPEC-558;0.55679643;0.5613188
T-OPENSRC-02;CAPEC-669;0.5541705;0.5548673
T-OPENSRC-02;CAPEC-670;0.58354104;0.57416147
T-OPENSRC-02;CAPEC-672;0.5532861;0.5503914
T-OPENSRC-02;CAPEC-673;0.5688325;0.5719448
T-OPENSRC-02;CAPEC-691;0.58183825;0.5814437
T-OPENSRC-02;CAPEC-88;0.56017333;0.56350774
T-ORU-01;CAPEC-617;0.57692105;0.5935367
T-PHYS-01;CAPEC-401;0.55127394;
T-R1-03;CAPEC-114;0.5585734;0.55857366
T-R1-05;CAPEC-173;0.60926497;0.61582017
T-R1-05;CAPEC-388;;0.55141497
T-R1-05;CAPEC-389;0.5799296;0.58985466
T-R1-05;CAPEC-407;;0.55061036
T-R1-05;CAPEC-473;;0.5646034
T-R1-05;CAPEC-502;0.6047485;0.61449176
T-RADIO-01;CAPEC-559;0.576841;0.5603193
T-RADIO-01;CAPEC-599;0.5804105;0.57670605
T-RADIO-01;CAPEC-601;0.67170656;0.6519932
T-RADIO-01;CAPEC-604;0.6571707;0.6439859
T-RADIO-01;CAPEC-605;0.654083;0.65246147
T-RADIO-02;CAPEC-601;0.5743389;0.5614328
T-SMO-01;CAPEC-114;0.56947786;0.55385154
T-SMO-08;CAPEC-113;0.55380356;0.5508084
T-SMO-08;CAPEC-114;0.60446787;0.5983208
T-SMO-08;CAPEC-115;0.57693297;0.56405437
T-SMO-08;CAPEC-160;0.5756928;0.5575427
T-SMO-08;CAPEC-180;0.5968824;0.5978399
T-SMO-08;CAPEC-184;0.5594791;0.55727434
T-SMO-08;CAPEC-388;0.582065;0.5824769
T-SMO-08;CAPEC-389;0.5574804;0.55644906
T-SMO-08;CAPEC-480;0.5513706;
T-SMO-08;CAPEC-533;;0.55135447
T-SMO-08;CAPEC-8;0.5723718;0.56405556
T-SMO-08;CAPEC-88;0.5653407;0.5692332
T-SMO-13;CAPEC-268;0.6101878;0.62006986
T-SMO-13;CAPEC-93;0.5837768;0.6038709
T-SMO-14;CAPEC-268;0.57185745;0.5823553
T-SMO-14;CAPEC-93;;0.5591623
T-SMO-15;CAPEC-268;0.5797652;0.58019584
T-SMO-15;CAPEC-93;0.5541663;0.5583845
T-SMO-16;CAPEC-268;0.57208484;0.5847624
T-SMO-16;CAPEC-93;0.5608476;0.5778322
T-SMO-17;CAPEC-268;0.62906784;0.62814313
