Name;Domain;Description;CAPEC ID;Similarity
T-SMO-29;enterprise-attack;External attacker floods External interface to cause DDoS at SMO;CAPEC-486;0.60713315
T-AAL-05;enterprise-attack;Malicious memory accesses;CAPEC-679;0.570197
T-rAPP-06;enterprise-attack;An attacker bypasses authentication and authorization using an injection attack;CAPEC-88;0.56116503
T-SMO-08;enterprise-attack;Attacker exploits insecure API to gain access to SMO;CAPEC-88;0.5653407
T-SharedORU-07;enterprise-attack;Untrusted peering to the SMO;CAPEC-88;0.5555794
T-OPENSRC-02;enterprise-attack;A trusted developer intentionally inserts a backdoor into an open source code O-RAN component;CAPEC-88;0.56017333
T-A1-02;enterprise-attack;Malicious function or application monitors messaging across A1 interface;CAPEC-12;0.5848651
T-A1-03;enterprise-attack;Malicious function or application modifies messaging across A1 interface;CAPEC-12;0.56642884
T-SharedORU-29;enterprise-attack;Modify/Delete OFH C-Plane messages;CAPEC-12;0.5698118
T-rAPP-06;enterprise-attack;An attacker bypasses authentication and authorization using an injection attack;CAPEC-136;0.61389184
T-O-RAN-06;enterprise-attack;An attacker exploits insufficient/improper mechanisms for authentication and authorization to compromise O-RAN components;CAPEC-115;0.5502651
T-rAPP-04;enterprise-attack;An attacker bypasses authentication and authorization;CAPEC-115;0.6161448
T-rAPP-06;enterprise-attack;An attacker bypasses authentication and authorization using an injection attack;CAPEC-115;0.62690127
T-SMO-08;enterprise-attack;Attacker exploits insecure API to gain access to SMO;CAPEC-115;0.57693297
T-SharedORU-07;enterprise-attack;Untrusted peering to the SMO;CAPEC-115;0.5799538
T-SharedORU-42;enterprise-attack;Misuse of “sudo” privileges;CAPEC-122;0.56554556
T-GEN-02;enterprise-attack;Malicious access to exposed services using valid accounts;CAPEC-122;0.5660987
T-VM-C-01;enterprise-attack;Abuse of a privileged VM/Container;CAPEC-122;0.5534709
T-A1-02;enterprise-attack;Malicious function or application monitors messaging across A1 interface;CAPEC-387;0.596484
T-A1-03;enterprise-attack;Malicious function or application modifies messaging across A1 interface;CAPEC-387;0.5691604
T-SharedORU-07;enterprise-attack;Untrusted peering to the SMO;CAPEC-387;0.5686405
T-rAPP-06;enterprise-attack;An attacker bypasses authentication and authorization using an injection attack;CAPEC-83;0.5543684
T-SharedORU-07;enterprise-attack;Untrusted peering to the SMO;CAPEC-21;0.59001327
T-rAPP-06;enterprise-attack;An attacker bypasses authentication and authorization using an injection attack;CAPEC-81;0.5504652
T-SMO-17;enterprise-attack;Malicious external actor gains unauthorized access to logs;CAPEC-81;0.56076944
T-ORU-01;enterprise-attack;An attacker stands up a false base station attack by attacking an O-RU;CAPEC-617;0.57692105
T-SharedORU-07;enterprise-attack;Untrusted peering to the SMO;CAPEC-102;0.562333
T-SMO-22;enterprise-attack;Internal attacker floods O2 interface via SMO to cause DDoS on O-Cloud infrastructure;CAPEC-125;0.554157
T-SMO-24;enterprise-attack;External attacker floods O2 interface via O-Cloud to cause DDoS on SMO;CAPEC-125;0.5519141
T-SMO-29;enterprise-attack;External attacker floods External interface to cause DDoS at SMO;CAPEC-125;0.5871885
T-rAPP-06;enterprise-attack;An attacker bypasses authentication and authorization using an injection attack;CAPEC-250;0.5694611
T-AppLCM-01;enterprise-attack;Compromise of App/VNF/CNF update package integrity during onboarding;CAPEC-523;0.5569091
T-OPENSRC-02;enterprise-attack;A trusted developer intentionally inserts a backdoor into an open source code O-RAN component;CAPEC-523;0.57731146
T-rAPP-04;enterprise-attack;An attacker bypasses authentication and authorization;CAPEC-593;0.5615017
T-rAPP-06;enterprise-attack;An attacker bypasses authentication and authorization using an injection attack;CAPEC-593;0.5861227
T-SharedORU-05;enterprise-attack;Untrusted peering to O-DU;CAPEC-593;0.5569844
T-SharedORU-06;enterprise-attack;Untrusted peering to the Shared O-RU;CAPEC-593;0.58873844
T-SharedORU-07;enterprise-attack;Untrusted peering to the SMO;CAPEC-593;0.64342713
T-SharedORU-19;enterprise-attack;Malicious User Login Attempt to O-CU Host/Tenant;CAPEC-593;0.57004124
T-OPENSRC-02;enterprise-attack;A trusted developer intentionally inserts a backdoor into an open source code O-RAN component;CAPEC-673;0.5688325
T-O-RAN-06;enterprise-attack;An attacker exploits insufficient/improper mechanisms for authentication and authorization to compromise O-RAN components;CAPEC-114;0.5957637
T-rAPP-04;enterprise-attack;An attacker bypasses authentication and authorization;CAPEC-114;0.6276523
