Name;Domain;Description;CAPEC ID;Similarity;summary_th_df;summary_th_df;summary_ca_df
T-SharedORU-36;enterprise-attack;Shared O-RU M-plane hijacking by DNS compromise;CAPEC-4;0.5760214;A Threat with the title Shared O-RU M-plane hijacking by DNS compromise and the descriptionShared O-RU M-plane initialization depends on DNS, if FQDN is returned as the NETCONF controller of shared O-RU during its initialization. The name resolution of FQDN can be manipulated by an attacker using a compromised DNS server and prevent Shared O-RU from reaching carrier-active state due to unavailability of carrier configuration. This kind of attack can cause a Denial of Service on the shared O-RU.;A Threat with the title Shared O-RU M-plane hijacking by DNS compromise and the descriptionShared O-RU M-plane initialization depends on DNS, if FQDN is returned as the NETCONF controller of shared O-RU during its initialization. The name resolution of FQDN can be manipulated by an attacker using a compromised DNS server and prevent Shared O-RU from reaching carrier-active state due to unavailability of carrier configuration. This kind of attack can cause a Denial of Service on the shared O-RU.;A CAPEC with the title Using Alternative IP Address Encodings. The description of this CAPEC is:This attack relies on the adversary using unexpected formats for representing IP addresses. Networked applications may expect network location information in a specific format, such as fully qualified domains names (FQDNs), URL, IP address, or IP Address ranges. If the location information is not validated against a variety of different possible encodings and formats, the adversary can use an alternate format to bypass application access control.. The Domain of this is: Software
T-OPENSRC-02;enterprise-attack;A trusted developer intentionally inserts a backdoor into an open source code O-RAN component;CAPEC-523;0.57278395;"A Threat with the title A trusted developer intentionally inserts a backdoor into an open source code O-RAN component and the descriptionA trusted developer intentionally inserts a backdoor by injecting a few lines of malicious code into an open source code component to be used within the O-RAN system. A software project team picks up and uses the infected open source code and the development team’s tools for vetting and testing the component do not detect the malicious code. Unknowingly they have introduced a vulnerability into their O-RAN software code.
The vulnerability has gone undetected and the threat actor is able to compromise the software through the inserted vulnerability. The resulting effect on the O-RAN system can take a variety of forms, from being annoying to impacting system performance (DoS) to the loss of sensitive data.";"A Threat with the title A trusted developer intentionally inserts a backdoor into an open source code O-RAN component and the descriptionA trusted developer intentionally inserts a backdoor by injecting a few lines of malicious code into an open source code component to be used within the O-RAN system. A software project team picks up and uses the infected open source code and the development team’s tools for vetting and testing the component do not detect the malicious code. Unknowingly they have introduced a vulnerability into their O-RAN software code.
The vulnerability has gone undetected and the threat actor is able to compromise the software through the inserted vulnerability. The resulting effect on the O-RAN system can take a variety of forms, from being annoying to impacting system performance (DoS) to the loss of sensitive data.";A CAPEC with the title Malicious Software Implanted. The description of this CAPEC is:An attacker implants malicious software into the system in the supply chain distribution channel, with purpose of causing malicious disruption or allowing for additional compromise when the system is deployed.. The Domain of this is: Supply Chain
T-GEN-02;enterprise-attack;Malicious access to exposed services using valid accounts;CAPEC-600;0.56356406;"A Threat with the title Malicious access to exposed services using valid accounts and the descriptionAccess to valid accounts to use the O-Cloud services is often a requirement, which could be obtained through credential pharming or by obtaining the credentials from users after compromising the network. 
Adversaries may obtain and abuse credentials of existing accounts as a means of gaining initial access, persistence, privilege escalation, or defense evasion. Compromised credentials may be used to bypass access controls placed on various resources on O-Cloud.
Compromised credentials may also grant an adversary increased privilege to specific O-Cloud services or access to restricted areas of the O-Cloud network. 
Access may be also gained through an exposed service that doesn’t require authentication. In containerized environments, this may include an exposed Docker API, Kubernetes API server, kubelet, or web application such as the Kubernetes dashboard.";"A Threat with the title Malicious access to exposed services using valid accounts and the descriptionAccess to valid accounts to use the O-Cloud services is often a requirement, which could be obtained through credential pharming or by obtaining the credentials from users after compromising the network. 
Adversaries may obtain and abuse credentials of existing accounts as a means of gaining initial access, persistence, privilege escalation, or defense evasion. Compromised credentials may be used to bypass access controls placed on various resources on O-Cloud.
Compromised credentials may also grant an adversary increased privilege to specific O-Cloud services or access to restricted areas of the O-Cloud network. 
Access may be also gained through an exposed service that doesn’t require authentication. In containerized environments, this may include an exposed Docker API, Kubernetes API server, kubelet, or web application such as the Kubernetes dashboard.";"A CAPEC with the title Credential Stuffing. The description of this CAPEC is:
            <xhtml:p>An adversary tries known username/password combinations against different systems, applications, or services to gain additional authenticated access. Credential Stuffing attacks rely upon the fact that many users leverage the same username/password combination for multiple systems, applications, and services.</xhtml:p>
         . The Domain of this is: Software"
T-GEN-02;enterprise-attack;Malicious access to exposed services using valid accounts;CAPEC-555;0.5587502;"A Threat with the title Malicious access to exposed services using valid accounts and the descriptionAccess to valid accounts to use the O-Cloud services is often a requirement, which could be obtained through credential pharming or by obtaining the credentials from users after compromising the network. 
Adversaries may obtain and abuse credentials of existing accounts as a means of gaining initial access, persistence, privilege escalation, or defense evasion. Compromised credentials may be used to bypass access controls placed on various resources on O-Cloud.
Compromised credentials may also grant an adversary increased privilege to specific O-Cloud services or access to restricted areas of the O-Cloud network. 
Access may be also gained through an exposed service that doesn’t require authentication. In containerized environments, this may include an exposed Docker API, Kubernetes API server, kubelet, or web application such as the Kubernetes dashboard.";"A Threat with the title Malicious access to exposed services using valid accounts and the descriptionAccess to valid accounts to use the O-Cloud services is often a requirement, which could be obtained through credential pharming or by obtaining the credentials from users after compromising the network. 
Adversaries may obtain and abuse credentials of existing accounts as a means of gaining initial access, persistence, privilege escalation, or defense evasion. Compromised credentials may be used to bypass access controls placed on various resources on O-Cloud.
Compromised credentials may also grant an adversary increased privilege to specific O-Cloud services or access to restricted areas of the O-Cloud network. 
Access may be also gained through an exposed service that doesn’t require authentication. In containerized environments, this may include an exposed Docker API, Kubernetes API server, kubelet, or web application such as the Kubernetes dashboard.";A CAPEC with the title Remote Services with Stolen Credentials. The description of this CAPEC is:This pattern of attack involves an adversary that uses stolen credentials to leverage remote services such as RDP, telnet, SSH, and VNC to log into a system. Once access is gained, any number of malicious activities could be performed.. The Domain of this is: Software
T-O-RAN-07;enterprise-attack;An attacker compromises O-RAN monitoring mechanisms and log files integrity and availability;CAPEC-81;0.5675639;A Threat with the title An attacker compromises O-RAN monitoring mechanisms and log files integrity and availability and the descriptionImproper / missing controls for protection of security event log files generated by O-RAN components and the lack of security events logged together with a unique system reference (e.g. host name, IP or MAC address) and the exact time the incident occurred do not allow a correct and rapid audit in case of security incident occurrence. Security restoration is delayed. Compromise of availability and integrity of security event log files could conduct to delays, wrong audit results, delays in security restoration, threats persistence.;A Threat with the title An attacker compromises O-RAN monitoring mechanisms and log files integrity and availability and the descriptionImproper / missing controls for protection of security event log files generated by O-RAN components and the lack of security events logged together with a unique system reference (e.g. host name, IP or MAC address) and the exact time the incident occurred do not allow a correct and rapid audit in case of security incident occurrence. Security restoration is delayed. Compromise of availability and integrity of security event log files could conduct to delays, wrong audit results, delays in security restoration, threats persistence.;"A CAPEC with the title Web Server Logs Tampering. The description of this CAPEC is:Web Logs Tampering attacks involve an attacker injecting, deleting or otherwise tampering with the contents of web logs typically for the purposes of masking other malicious behavior. Additionally, writing malicious data to log files may target jobs, filters, reports, and other agents that process the logs in an asynchronous attack pattern. This pattern of attack is similar to ""Log Injection-Tampering-Forging"" except that in this case, the attack is targeting the logs of the web server and not the application.. The Domain of this is: Software"
T-AAL-06;enterprise-attack;Firmware attacks;CAPEC-682;0.5950987;A Threat with the title Firmware attacks and the descriptionHardware accelerators often have their own firmware, which can be targeted by attackers. This could include modifying the firmware to introduce vulnerabilities (e.g., malware) or installing a malicious firmware to extract/modify sensitive information or execute unauthorized actions (e.g., control the device remotely). ;A Threat with the title Firmware attacks and the descriptionHardware accelerators often have their own firmware, which can be targeted by attackers. This could include modifying the firmware to introduce vulnerabilities (e.g., malware) or installing a malicious firmware to extract/modify sensitive information or execute unauthorized actions (e.g., control the device remotely). ;A CAPEC with the title Exploitation of Firmware or ROM Code with Unpatchable Vulnerabilities. The description of this CAPEC is:An adversary may exploit vulnerable code (i.e., firmware or ROM) that is unpatchable. Unpatchable devices exist due to manufacturers intentionally or inadvertently designing devices incapable of updating their software. Additionally, with updatable devices, the manufacturer may decide not to support the device and stop making updates to their software.. The Domains of this are: Software, Hardware
T-OPENSRC-02;enterprise-attack;A trusted developer intentionally inserts a backdoor into an open source code O-RAN component;CAPEC-670;0.5891827;"A Threat with the title A trusted developer intentionally inserts a backdoor into an open source code O-RAN component and the descriptionA trusted developer intentionally inserts a backdoor by injecting a few lines of malicious code into an open source code component to be used within the O-RAN system. A software project team picks up and uses the infected open source code and the development team’s tools for vetting and testing the component do not detect the malicious code. Unknowingly they have introduced a vulnerability into their O-RAN software code.
The vulnerability has gone undetected and the threat actor is able to compromise the software through the inserted vulnerability. The resulting effect on the O-RAN system can take a variety of forms, from being annoying to impacting system performance (DoS) to the loss of sensitive data.";"A Threat with the title A trusted developer intentionally inserts a backdoor into an open source code O-RAN component and the descriptionA trusted developer intentionally inserts a backdoor by injecting a few lines of malicious code into an open source code component to be used within the O-RAN system. A software project team picks up and uses the infected open source code and the development team’s tools for vetting and testing the component do not detect the malicious code. Unknowingly they have introduced a vulnerability into their O-RAN software code.
The vulnerability has gone undetected and the threat actor is able to compromise the software through the inserted vulnerability. The resulting effect on the O-RAN system can take a variety of forms, from being annoying to impacting system performance (DoS) to the loss of sensitive data.";A CAPEC with the title Software Development Tools Maliciously Altered. The description of this CAPEC is:An adversary with the ability to alter tools used in a development environment causes software to be developed with maliciously modified tools. Such tools include requirements management and database tools, software design tools, configuration management tools, compilers, system build tools, and software performance testing and load testing tools. The adversary then carries out malicious acts once the software is deployed including malware infection of other systems to support further compromises.. The Domains of this are: Supply Chain, Software
T-rAPP-02;enterprise-attack;An attacker exploits rApp vulnerability for data breach or denial of service;CAPEC-482;0.5618427;"A Threat with the title An attacker exploits rApp vulnerability for data breach or denial of service and the descriptionVulnerabilities can potentially exist in any rApp. If attackers can find exploitable rApp, they can potentially force a data breach, disrupt the offered network service. and take over another rApp or the non-RT RIC. 
The actual consequences may vary. For example, an attacker may gain the ability to alter data transmitted over A1 interface, extract sensitive information, etc.";"A Threat with the title An attacker exploits rApp vulnerability for data breach or denial of service and the descriptionVulnerabilities can potentially exist in any rApp. If attackers can find exploitable rApp, they can potentially force a data breach, disrupt the offered network service. and take over another rApp or the non-RT RIC. 
The actual consequences may vary. For example, an attacker may gain the ability to alter data transmitted over A1 interface, extract sensitive information, etc.";A CAPEC with the title TCP Flood. The description of this CAPEC is:An adversary may execute a flooding attack using the TCP protocol with the intent to deny legitimate users access to a service. These attacks exploit the weakness within the TCP protocol where there is some state information for the connection the server needs to maintain. This often involves the use of TCP SYN messages.. The Domains of this are: Communications, Software
T-rAPP-03;enterprise-attack;An attacker exploits rApps misconfiguration;CAPEC-482;0.56496376;"A Threat with the title An attacker exploits rApps misconfiguration and the descriptionSecurity misconfiguration, such as open ports or enabled unused protocols, can potentially exist in an rApp. If attackers can find exploitable rApp, they can disrupt the offered network service and potentially take over another rApp or the whole non-RT RIC. 
The actual consequences may vary. For example, an attacker may gain the ability to alter data transmitted over A1 interface, extract sensitive information, etc.";"A Threat with the title An attacker exploits rApps misconfiguration and the descriptionSecurity misconfiguration, such as open ports or enabled unused protocols, can potentially exist in an rApp. If attackers can find exploitable rApp, they can disrupt the offered network service and potentially take over another rApp or the whole non-RT RIC. 
The actual consequences may vary. For example, an attacker may gain the ability to alter data transmitted over A1 interface, extract sensitive information, etc.";A CAPEC with the title TCP Flood. The description of this CAPEC is:An adversary may execute a flooding attack using the TCP protocol with the intent to deny legitimate users access to a service. These attacks exploit the weakness within the TCP protocol where there is some state information for the connection the server needs to maintain. This often involves the use of TCP SYN messages.. The Domains of this are: Communications, Software
T-SMO-22;enterprise-attack;Internal attacker floods O2 interface via SMO to cause DDoS on O-Cloud infrastructure;CAPEC-482;0.55039334;A Threat with the title Internal attacker floods O2 interface via SMO to cause DDoS on O-Cloud infrastructure and the descriptionIf the O2 interface is not protected, an internal attacker on the SMO can flood the O2 interface to overload the O-Cloud.  This can prevent legitimate messages from reaching the O-Cloud or cause heavy processing at the O-Cloud, resulting in performance degradation.;A Threat with the title Internal attacker floods O2 interface via SMO to cause DDoS on O-Cloud infrastructure and the descriptionIf the O2 interface is not protected, an internal attacker on the SMO can flood the O2 interface to overload the O-Cloud.  This can prevent legitimate messages from reaching the O-Cloud or cause heavy processing at the O-Cloud, resulting in performance degradation.;A CAPEC with the title TCP Flood. The description of this CAPEC is:An adversary may execute a flooding attack using the TCP protocol with the intent to deny legitimate users access to a service. These attacks exploit the weakness within the TCP protocol where there is some state information for the connection the server needs to maintain. This often involves the use of TCP SYN messages.. The Domains of this are: Communications, Software
