Name;CAPEC ID;Similarity_orca;Similarity_our
T-A1-02;CAPEC-12;0.5848651;0.59068793
T-A1-02;CAPEC-272;;0.55219334
T-A1-02;CAPEC-387;0.596484;0.6098552
T-A1-02;CAPEC-388;0.56450886;0.5830508
T-A1-02;CAPEC-502;;0.55692506
T-A1-02;CAPEC-94;0.5796715;0.5539808
T-A1-03;CAPEC-12;0.56642884;0.5619935
T-A1-03;CAPEC-272;0.5509149;0.5512365
T-A1-03;CAPEC-387;0.5691604;0.5788893
T-A1-03;CAPEC-388;0.55429;0.5711757
T-A1-03;CAPEC-502;;0.55044335
T-A1-03;CAPEC-94;0.56118155;
T-AAL-05;CAPEC-456;0.6158964;0.6087927
T-AAL-05;CAPEC-458;;0.5544796
T-AAL-05;CAPEC-663;0.56383425;0.5886212
T-AAL-05;CAPEC-679;0.570197;0.56273985
T-AAL-06;CAPEC-401;0.5739124;
T-AAL-06;CAPEC-440;0.5705966;
T-AAL-06;CAPEC-452;0.5769205;
T-AAL-06;CAPEC-638;0.6015073;0.6231934
T-AAL-06;CAPEC-665;0.55626833;0.5645474
T-AAL-06;CAPEC-682;0.5719693;0.5950987
T-AppLCM-01;CAPEC-180;0.5635905;
T-AppLCM-01;CAPEC-186;0.5818436;0.5577157
T-AppLCM-01;CAPEC-212;0.55931956;
T-AppLCM-01;CAPEC-445;0.5656879;0.56785583
T-AppLCM-01;CAPEC-446;0.5508399;
T-AppLCM-01;CAPEC-480;0.5556584;
T-AppLCM-01;CAPEC-502;0.59569746;0.58510214
T-AppLCM-01;CAPEC-523;0.5569091;
T-AppLCM-01;CAPEC-533;0.5833658;0.562869
T-AppLCM-01;CAPEC-534;0.5703814;0.5552237
T-AppLCM-01;CAPEC-669;0.61875224;0.59628356
T-AppLCM-01;CAPEC-677;0.58582354;0.5558516
T-AppLCM-02;CAPEC-23;0.56903195;0.55737615
T-AppLCM-02;CAPEC-480;0.5520885;
T-AppLCM-02;CAPEC-669;0.55140674;
T-AppLCM-05;CAPEC-445;0.55898803;
T-AppLCM-05;CAPEC-502;0.5796088;
T-AppLCM-05;CAPEC-698;0.55122113;
T-AppLCM-07;CAPEC-184;0.56059754;
T-AppLCM-07;CAPEC-212;0.55335325;
T-AppLCM-07;CAPEC-263;0.55188364;
T-AppLCM-07;CAPEC-271;0.5844972;0.56725746
T-AppLCM-07;CAPEC-546;0.63088655;0.615415
T-AppLCM-07;CAPEC-548;0.5894898;0.5655284
T-CPLANE-01;CAPEC-473;0.56771106;0.5538492
T-GEN-01;CAPEC-480;0.5621081;
T-GEN-02;CAPEC-114;0.5621336;
T-GEN-02;CAPEC-122;0.5660987;0.5528731
T-GEN-02;CAPEC-510;0.6071962;0.6000066
T-GEN-02;CAPEC-555;0.5601635;0.5587502
T-GEN-02;CAPEC-560;0.5553874;0.55446863
T-GEN-02;CAPEC-600;0.5650064;0.56356406
T-HW-02;CAPEC-480;0.57686806;0.56505233
T-IMG-01;CAPEC-480;0.5780267;0.5602057
T-NEAR-RT-04;CAPEC-388;0.5553419;0.5686259
T-NEAR-RT-05;CAPEC-21;;0.55103004
T-NONRTRIC-01;CAPEC-180;0.5597336;0.5533445
T-NONRTRIC-01;CAPEC-594;0.5629792;
T-O-RAN-04;CAPEC-604;0.57392347;0.5597278
T-O-RAN-04;CAPEC-615;0.5509182;
T-O-RAN-06;CAPEC-114;0.5957637;0.5898237
T-O-RAN-06;CAPEC-115;0.5502651;
T-O-RAN-06;CAPEC-180;0.5634923;0.55807453
T-O-RAN-07;CAPEC-180;;0.55523574
T-O-RAN-07;CAPEC-268;0.6484928;0.6674892
T-O-RAN-07;CAPEC-81;;0.5675639
